"Original	Titulo	Anio	Sinopsis	Link_Imagen	Generos	Puntuacion_IMDb	Temporadas	Episodios";;
"Alice in Wonderland [1951][1080p][2.9 Gb]	Alicia en el país de las maravillas	1951	Historia de magia y fantasía en el que la joven Alicia se sumerge en el sorprendente País de las Maravillas y conoce a extraordinarios personajes como Tweedledee y Tweedledum, el Sombrerero Loco, La Reina de Corazones y el frenético Conejo Blanco.	https://image.tmdb.org/t/p/w500/zOJKtTdToc8FcjmmbavkjUxv2Ue.jpg	Animación, Familia, Fantasía, Aventura	7.2	0	0";;
"Alvin y Las Ardillas - Fiesta Sobre Ruedas [2015][1080p][3 Gb]	Alvin y las ardillas: Fiesta sobre ruedas	2015	""Tras una serie de malentendidos Alvin, Simon y Theodore piensan que Dave se va a declarar a su nueva novia en Nueva York... y por tanto se olvidará de ellos. Tienen tres días para llegar e intentar romper el """"compromiso"""" y salvarse así de la pérdida de Dave.""	https://image.tmdb.org/t/p/w500/isz4uh337srL6PIYiKXTS5Htssq.jpg	Familia, Comedia, Música, Aventura, Animación	6.035	0	0";;
"Alvin y Las Ardillas 2 [2009][1080p][1.75 Gb]	Alvin y las ardillas 2	2009	Las ardillas más famosas y divertidas del cine regresan a la gran pantalla para protagonizar una nueva aventura. En ella, Alvin y sus compañeros deben enfrentarse a la presión de la escuela, a los problemas de la celebridad y a un grupo de chicas ardilla que les está haciendo la competencia	https://image.tmdb.org/t/p/w500/1DqgIFHVJwjlaIITCcYtobrirfd.jpg	Comedia, Familia, Animación, Fantasía, Música	5.7	0	0";;
"Alvin y Las Ardillas 3 [2011][1080p][1.79 Gb]	Alvin y las ardillas 3	2011	Tercera entrega de la saga Alvin y las ardillas. Las ardillas se embarcan en un crucero de lujo y acaban en una isla desierta, pero pronto averiguarán que no está tan desierta como parece.	https://image.tmdb.org/t/p/w500/ipy52l2X0sj5cLuuA6DggMdx8yW.jpg	Comedia, Fantasía, Familia, Música, Animación	5.702	0	0";;
"Amos del Universo - Revelación	Masters del Universo: Revelación	2021 - 2021	La guerra por Eternia comienza de nuevo en lo que podría ser la batalla final entre He-Man y Skeletor. Una nueva serie de animación del guionista y director Kevin Smith.	https://image.tmdb.org/t/p/w500/wiztE6hmiPKF8THl4kupEq1Acsv.jpg	Action & Adventure, Sci-Fi & Fantasy, Animación	6.547	1	10";;
"Amos del Universo - Revolución	Masters del Universo: Revolución	2024 - 2024	La tecnología y la magia se ven las caras mientras He-Man y sus amigos luchan contra los siniestros planes de Skeletor en una batalla épica por el control de Eternia.	https://image.tmdb.org/t/p/w500/8O7RRcM6ttpUHHfF8lSzDLkvEyG.jpg	Animación, Action & Adventure, Sci-Fi & Fantasy	7.81	1	5";;
"Amphibia	Amphibian	1985		https://image.tmdb.org/t/p/w500/bQGuJ2cedypCMUVwPQWLR1u2oIx.jpg		0.0	0	0";;
"Ana y Bruno [2017][720p][580 Mb]	Ana y Bruno	2017	Ana, una niña de nueve años, llega con su madre a una playa aislada con la intención de descansar y conocer el mar. Allí, descubre que están bajo una terrible amenaza, por lo tanto, está obligada a buscar ayuda con su padre para salvar a su madre.	https://image.tmdb.org/t/p/w500/fRUzFQ7SU7Ef9An6G3NCNosytzQ.jpg	Animación, Aventura, Misterio, Familia, Fantasía	7.6	0	0";;
"Anastasia [1997][1080p][3.22 Gb]	Anastasia	1997	Cuando la sombra de la revolución se cierne sobre Rusia, Anastasia, la hija más joven de la familia real, apenas consigue escapar con vida. Años despúes conoce al joven Dimitri. Cuando se dirigen a París para reclamar los derechos del legado de Anastasia, se verán envueltos en una cruenta lucha contra el malvado monje Rasputín y su sicario, el murciélago Bartok.	https://image.tmdb.org/t/p/w500/bppGWGA8zq1sRvTdDJnUzVW9GcH.jpg	Animación, Familia, Fantasía, Aventura	7.6	0	0";;
"Angry Birds 2 [2019][1080p][3.9 Gb]	Angry Birds 2: La película	2019	En esta nueva aventura, tanto los cerdos como los pájaros tendrán que aunar sus fuerzas para hacer frente a Zeta. Zeta ha venido desde su isla helada en busca de un lugar más cómodo para vivir, pero su llegada está a punto de poner la vida de Red, Chuck, Bomb, Leonard y compañía patas arriba.	https://image.tmdb.org/t/p/w500/yIkmA2y50NYJkAYT9nZ5pcle9tP.jpg	Animación, Aventura, Comedia, Familia	7.0	0	0";;
"Angry Birds, La Pelicula [2016][1080p][2.8 Gb]	Angry Birds: La película	2016	""Basada en la colección de videojuegos """"Angry Birds"""", la historia se desarrolla en una isla poblada por aves felices que no vuelan. En este paraíso, Red, un pájaro con muy mal genio, el veloz Chuck y el volátil Bomb nunca han terminado de encajar. Pero cuando llegan a la isla unos misteriosos cerdos verdes, serán estos tres marginados los que averigüen qué traman los extraños visitantes.""	https://image.tmdb.org/t/p/w500/wHlxud7DzsolgvasBFt6gFHIUwP.jpg	Animación, Aventura, Comedia, Familia	6.27	0	0";;
"Animals	Animals	2008		https://image.tmdb.org/t/p/w500/2HUP1vWpWYZLCJ94qcykZ07v3lb.jpg	Terror, Suspense	3.8	0	0";;
"Appleseed Alpha [2014][1080p][2.62 Gb]	Appleseed: Alpha	2014	Basado en el manga de Masamune Shirow (el creador de Ghost in the Shell), Cuenta el pasado de la soldado Deunan y el cyborg Briareos, sobreviviendo en el New York Apocalíptico de Post- Tercera Guerra Mundial, en busca de la legendaria ciudad Olympus.	https://image.tmdb.org/t/p/w500/be1Oa4JihT875bPJpv7QaWvYiYt.jpg	Animación, Ciencia ficción, Acción	6.733	0	0";;
"Arcane	Arcane Bloom	2022		No disponible	Documental	0.0	0	0";;
"Astro Boy [2009][1080p][2.9 Gb]	Astro Boy	2009	""""""Astro Boy"""" es la adaptación cinematográfica de un cómic del prestigioso Osamu Tezuka que dio origen a una popular serie de televisión japonesa de los 60. Su protagonista es un joven robot con increíbles poderes que ha sido creado por un brillante científico para reemplazar al hijo que perdió. Sintiéndose incapaz de colmar las expectativas que el hombre ha depositado en él, se embarcará en un viaje en busca de aceptación, experimentará la traición y descubrirá un mundo de robots gladiadores.""	https://image.tmdb.org/t/p/w500/hApPA4YBApDjXFX8Pb15om9zD0W.jpg	Animación, Acción, Familia, Ciencia ficción	6.34	0	0";;
"Atlantis - El imperio perdido [2001][1080p][2.00 Gb]	Atlantis: El imperio perdido	2001	Un joven aventurero llamado Milo encuentra un antiguo diario que contiene pistas de cómo llegar a Atlantis, el mítico reino hundido. Junto a otros intrépidos personajes Milo decide embarcarse en el Ulises, un impresionante submarino, en una arriesgada expedición al fondo del mar.	https://image.tmdb.org/t/p/w500/uR7AKWMDTwyAub5r4QoPPiJImvx.jpg	Animación, Familia, Aventura, Ciencia ficción	7.044	0	0";;
"Atlantis 2 -  El Regreso de Milo [2003][1080p][1.50 Gb]	Atlantis: El regreso de Milo	2003	En la primera expedición (Atlantis: El Imperio Perdido), Milo y sus acompañantes encontraron la famosa ciudad perdida de Atlantis y salvaron al misterioso reino y a sus habitantes. Ahora, Milo, Kida y su equipo vivirán nuevas aventuras y descubrirán que poseen nuevos poderes. En su nueva misión, el equipo se enfrentará a enormes monstruos marinos, a espíritus espectaculares y poderosas leyendas recorriendo desde el polvoriento desierto del sudoeste hasta las heladas montañas nórdicas. A lo largo de esta aventura, Kida descubre el increíble poder de los cristales encantados de su ciudad y tiene que decidir si oculta ese poder en el Corazón de Atlantis o lo comparte con el resto del mando... Secuela directa a vídeo de la película de Disney de 2001.	https://image.tmdb.org/t/p/w500/cGL75ElUUClVs8kpXbVcaUxmgbd.jpg	Fantasía, Animación, Ciencia ficción, Familia, Acción	6.333	0	0";;
