Titulo_original;Titulo_encontrado;Fuente;Sinopsis;Poster_URL;Generos;Puntuacion;Episodios;URL_Externa
Kuroshitsuji;Kuroshitsuji;Jikan (MyAnimeList);"Young Ciel Phantomhive is known as ""the Queen's Guard Dog,"" taking care of the many unsettling events that occur in Victorian England for Her Majesty. Aided by Sebastian Michaelis, his loyal butler with seemingly inhuman abilities, Ciel uses whatever means necessary to get the job done. But is there more to this black-clad butler than meets the eye?  In Ciel's past lies a secret tragedy that enveloped him in perennial darkness—during one of his bleakest moments, he formed a contract with Sebastian, a demon, bargaining his soul in exchange for vengeance upon those who wronged him. Today, not only is Sebastian one hell of a butler, but he is also the perfect servant to carry out his master's orders—all the while anticipating the delicious meal he will eventually make of Ciel's soul. As the two work to unravel the mystery behind Ciel's chain of misfortunes, a bond forms between them that neither heaven nor hell can tear apart.  [Written by MAL Rewrite]";https://cdn.myanimelist.net/images/anime/1467/137783l.jpg;Action, Mystery, Supernatural;7.65;24;https://myanimelist.net/anime/4898/Kuroshitsuji
Kuroshitsuji Movie - Book of the Atlantic [BD][Bara];Kuroshitsuji Movie: Book of the Atlantic;Jikan (MyAnimeList);The young Earl Ciel Phantomhive—the Queen's Guard Dog—is once again called to investigate seemingly supernatural phenomena when news of miraculous resurrections begins to surface in Victorian London. Along with Sebastian Michaelis, his demon butler, they board the luxury cruise liner Campania to investigate rumors of the Aurora Society—a medical organization suspected of experimenting on the dead.  Grim reapers begin to appear on the ship, and it becomes apparent that the ship is about to be overrun with the undead as a devious plan is put into motion. Ciel and Sebastian must now uncover the secrets that lie behind the Aurora Society's phoenix symbol, and with the help of some old acquaintances, return the undead to their coffins or share a watery grave.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/9/85792l.jpg;Action, Mystery, Supernatural;8.25;1;https://myanimelist.net/anime/31812/Kuroshitsuji_Movie__Book_of_the_Atlantic
Kusuriya no Hitorigoto;Kusuriya no Hitorigoto;Jikan (MyAnimeList);Maomao, an apothecary's daughter, has been plucked from her peaceful life and sold to the lowest echelons of the imperial court. Now merely a maid, Maomao settles into her new mundane life and hides her extensive knowledge of medicine in order to avoid any unwanted attention.  Not long after Maomao's arrival, the emperor's infant children inexplicably begin to experience grave symptoms—almost as if a curse has been cast. The curious Maomao easily solves the mystery and, to remain out of the limelight, attempts to leave an anonymous tip. Unfortunately, the dashing and perceptive eunuch Jinshi sees through it and manages to single her out.  In recognition of her talent, Maomao is promoted to lady-in-waiting for the emperor's favorite concubine, Gyokuyou. As Maomao continues to remedy the numerous ailments afflicting the imperial court, her pharmaceutical expertise quickly proves indispensable.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1708/138033l.jpg;Drama, Mystery;8.85;24;https://myanimelist.net/anime/54492/Kusuriya_no_Hitorigoto
Kyuujitsu no Warumono-san;Kyuujitsu no Warumono-san;Jikan (MyAnimeList);As a member of a malevolent organization, the General is tasked with invading Earth and wiping out humanity. Even an extraterrestrial being like him, however, needs a chance to rest.  Not even the Rangers—a team solely dedicated to defeating the General and his colleagues—will stand in the way of him visiting pandas at the zoo, buying ice cream at the convenience store, and enjoying his well-deserved day off from committing evil deeds.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1124/138750l.jpg;Fantasy, Slice of Life;7.25;12;https://myanimelist.net/anime/54617/Kyuujitsu_no_Warumono-san
La Chica que Saltaba a Través del Tiempo [2006][1080p][2.3 Gb];Toki wo Kakeru Shoujo;Jikan (MyAnimeList);Makoto Konno is in her last year of high school, but is having a hard time deciding what to do with her future. In between enduring the pressure of her teachers and killing time with her best friends, Makoto's life suddenly changes when she accidentally discovers that she is capable of literally leaping through time.  Toki wo Kakeru Shoujo follows Makoto as she plays around with her newfound power. However, she soon learns the hard way that every choice has a consequence, and time is a lot more complicated than it may seem.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1/2432l.jpg;Award Winning, Drama, Romance, Sci-Fi;8.09;1;https://myanimelist.net/anime/2236/Toki_wo_Kakeru_Shoujo
La Princesa Mononoke [1997][1080p][4.33 Gb];Mononoke Hime;Jikan (MyAnimeList);When an Emishi village is attacked by a fierce demon boar, the young prince Ashitaka puts his life at stake to defend his tribe. With its dying breath, the beast curses the prince's arm, granting him demonic powers while gradually siphoning his life away. Instructed by the village elders to travel westward for a cure, Ashitaka arrives at Tatara, the Iron Town, where he finds himself embroiled in a fierce conflict: Lady Eboshi of Tatara, promoting constant deforestation, stands against Princess San and the sacred spirits of the forest, who are furious at the destruction brought by the humans. As the opposing forces of nature and mankind begin to clash in a desperate struggle for survival, Ashitaka attempts to seek harmony between the two, all the while battling the latent demon inside of him. Princess Mononoke is a tale depicting the connection of technology and nature, while showing the path to harmony that could be achieved by mutual acceptance.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1355/147277l.jpg;Action, Adventure, Award Winning, Fantasy;8.67;1;https://myanimelist.net/anime/164/Mononoke_Hime
La Tumba de las Luciérnagas [1988][1080p][1.9 Gb];Hotaru no Haka;Jikan (MyAnimeList);As World War II reaches its conclusion in 1945, Japan faces widespread destruction in the form of American bombings, devastating city after city. Hotaru no Haka, also known as Grave of the Fireflies, is the story of Seita and his sister Setsuko, two Japanese children whose lives are ravaged by the brutal war. They have lost their mother, their father, their home, and the prospect of a bright future—all tragic consequences of the war.  Now orphaned and homeless, Seita and Setsuko have no choice but to drift across the countryside, beset by starvation and disease. Met with the apathy of adults along the way, they find that desperate circumstances can turn even the kindest of people cruel yet their youthful hope shines brightly in the face of unrelenting hardship, preventing the siblings from swiftly succumbing to an inevitable fate.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1485/141208l.jpg;Drama;8.54;1;https://myanimelist.net/anime/578/Hotaru_no_Haka
Look Back [2024][1080p][2 Gb];Look Back;Jikan (MyAnimeList);Ayumu Fujino may only be in the fourth grade, but she already basks in high praise for her hand-drawn four-panel comics featured in the school's newspaper. However, when she is asked to share the page with Kyoumoto—a reclusive student she has never met—Fujino feels inadequate for the first time: her free-spirited drawings look embarrassingly amateurish next to Kyoumoto's breathtakingly detailed art.  For a year, Fujino shuts out the world, obsessively studying manga creation and drawing tirelessly to catch up to her faceless competition. But Kyoumoto's talent far exceeds hers, and Fujino quits it all. Another year passes, and on the day of their graduation, Fujino finally meets Kyoumoto. This unkempt, shy, and stuttering girl has actually been Fujino's biggest fan all along. Their encounter reignites Fujino's passion for art and sparks the beginning of a years-long friendship built on rivalry, admiration, and their shared love of manga.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1716/142633l.jpg;Award Winning, Drama;8.62;1;https://myanimelist.net/anime/58125/Look_Back
Lord of Mysteries;Guimi Zhi Zhu: Xiaochou Pian;Jikan (MyAnimeList);In a Victorian world of steam, dreadnoughts, and occult horrors, Zhou Mingrui awakens as Klein Moretti. He walks a razor's edge between light and darkness, entangled with warring Churches. This is the legend of unlimited potential...and unspeakable danger.  (Source: Crunchyroll);https://cdn.myanimelist.net/images/anime/1952/149229l.jpg;Action, Fantasy, Mystery, Suspense;8.61;13;https://myanimelist.net/anime/49818/Guimi_Zhi_Zhu__Xiaochou_Pian
Lost in Starlight [2025][1080p][2 Gb];I Byeol-e Pil-yohan;Jikan (MyAnimeList);Nan-young is a scientist whose astronaut mom failed to return to Earth when things went awry during her Mars probe. Nan-young has always dreamed of exploring space too and longs to go to Mars in hopes of finding a trace of her mom.  Her dream comes true when she is selected as one of the astronauts for a Mars probe project. Before she blasts off though, she meets Jay, a musician who also fixes retro sound instruments. It's all thanks to an old turntable that Nan-young inherited from her mom.  (Source: Netflix, edited);https://cdn.myanimelist.net/images/anime/1371/149504l.jpg;Romance, Sci-Fi;7.9;1;https://myanimelist.net/anime/61595/I_Byeol-e_Pil-yohan
Lycoris;Lycoris Recoil;TMDB;Una organización secreta llamada DA previene crímenes mediante agentes femeninas, conocidas como Lycoris. Chisato Nishikigi, la más fuerte de todas, trabaja junto a su nueva pareja, Takina Inoue, en un café llamado LycoReco. Allí, enfrentan desde tareas cotidianas hasta misiones peligrosas, mientras interactúan con su misterioso ex maestro y otros excéntricos personajes.;https://image.tmdb.org/t/p/original/1GJMVzfL7lRy4XqvS8UjsX2tzHt.jpg;Animación, Action & Adventure, Comedia;8.139;13;https://www.themoviedb.org/tv/154494
Maboroshi [2023][1080p][1.78 Gb];Alice to Therese no Maboroshi Koujou;Jikan (MyAnimeList);In the small rural town of Mifuse, time has crawled to a standstill. After an explosion at the city's steel mill, the townspeople realize they are trapped in a mysterious stasis—cutting them off from the rest of the world. With a local elite quick to declare the situation a punishment from God, the community adopts a variety of superstitions to preserve the delicate balance of their circumstances until normalcy is restored.  For middle school student Masamune Kikuiri and the other young people of Mifuse, returning to the real world has become nothing more than an illusion. Their senses have gone numb, and it has been years since they have shown any signs of aging. Masamune feels like he has become accustomed to his insecurities and empty existence. However, one day, his classmate Mutsumi Sagami guides him to the fifth furnace of the steel mill, where she shows him a feral young girl who resembles a wolf. This encounter proves to be the impetus in casting a light of change that dispels the shadows that have become Mifuse's reality.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1429/137275l.jpg;Award Winning, Drama;7.24;1;https://myanimelist.net/anime/49303/Alice_to_Therese_no_Maboroshi_Koujou
Made in Abyss;Made in Abyss;Jikan (MyAnimeList);The Abyss—a gaping chasm stretching down into the depths of the earth, filled with mysterious creatures and relics from a time long past. How did it come to be? What lies at the bottom? Countless brave individuals, known as Divers, have sought to solve these mysteries of the Abyss, fearlessly descending into its darkest realms. The best and bravest of the Divers, the White Whistles, are hailed as legends by those who remain on the surface.  Riko, daughter of the missing White Whistle Lyza the Annihilator, aspires to become like her mother and explore the furthest reaches of the Abyss. However, just a novice Red Whistle herself, she is only permitted to roam its most upper layer. Even so, Riko has a chance encounter with a mysterious robot with the appearance of an ordinary young boy. She comes to name him Reg, and he has no recollection of the events preceding his discovery. Certain that the technology to create Reg must come from deep within the Abyss, the two decide to venture forth into the chasm to recover his memories and see the bottom of the great pit with their own eyes. However, they know not of the harsh reality that is the true existence of the Abyss.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/6/86733l.jpg;Adventure, Drama, Fantasy, Mystery, Sci-Fi;8.62;13;https://myanimelist.net/anime/34599/Made_in_Abyss
Majo to Yajuu;Majo to Yajuu;Jikan (MyAnimeList);Cursed by a witch, the feral and tempestuous Guideau tenaciously searches for the culprit so she can exact revenge. To this end, she joins the Order of Magical Resonance, an organization that deals with everything connected to magic. The Order agrees to work with Guideau in return for her help solving the myriad of magic-related cases occurring across the world.  The Order's suave and mysterious mage Ashaf accompanies Guideau for the sake of successfully completing missions. As the pair traverses the land in search of that unknown witch, their experience with the fantastical world of magic grows ever more peculiar the further they advance in their journey.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1380/139745l.jpg;Action, Fantasy;7.46;12;https://myanimelist.net/anime/52816/Majo_to_Yajuu
Más Allá de las Nubes, la Tierra Prometida [2004][1080p][3.46 Gb];Kumo no Mukou, Yakusoku no Basho;Jikan (MyAnimeList);Hiroki Fujisawa and Takuya Shirakawa harbor admiration for two things in their life: their classmate Sayuri Sawatari and the vast Ezo Tower that stands boundlessly across the Tsugaru Strait. Fascinated by the limitless structure beyond their reach, Hiroki and Takuya begin constructing an aeroplane from a fallen drone they discovered—naming it the Bella Ciela—to fulfill their dream of one day reaching the sky-scraping top of the tower. Later joined by the girl they love, Hiroki and Takuya promise Sayuri to fly with her to the seemingly otherworldly top together. However, Japan has suffered a North-South partitioning that has fueled conflict near the base of the tower, which marks the border between the America-controlled Southern islands and the Northern lands occupied by the Soviet Union.  Further along, Sayuri suddenly disappears, and Hiroki and Takuya never see her again. Unbeknownst to them, she fell victim to a sleeping disorder that left her comatose for the past three years. Although Hiroki and Takuya later learn about Sayuri's condition, they also discover that the girl's unconscious state is oddly linked to the same tower the trio had promised to conquer together.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1725/133738l.jpg;Award Winning, Drama, Romance, Sci-Fi;7.41;1;https://myanimelist.net/anime/433/Kumo_no_Mukou_Yakusoku_no_Basho
Mashle;Mashle;Jikan (MyAnimeList);In this magical world, one is easily identified as having magical abilities by a distinctive mark on their face. Those unable to practice magic are swiftly exterminated to maintain the magical integrity of society. However, deep within a forest lies an anomaly in Mash Burnedead, who can be found pumping iron with one arm and lifting a cream puff with the other. This aloof boy with superhuman strength—but no magical abilities—leads a quiet life with his father, far removed from society.  Mash's peace is soon disturbed when the authorities discover his lack of magical powers. They issue him an ultimatum: compete to become a Divine Visionary, which would force everyone to accept him, or be persecuted forever. To protect his family, he enrolls in the prestigious Easton Magic Academy, which only the most elite and gifted students are allowed to attend. Now, Mash must overcome his shortcomings as a magic-less being and surpass the other students—relying solely on his muscles.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1218/135107l.jpg;Action, Comedy, Fantasy;7.61;12;https://myanimelist.net/anime/52211/Mashle
Metallic Rouge;Metallic Rouge;Jikan (MyAnimeList);After emerging victorious against an alien species known as Usurpers using combat androids called Neans, mankind colonized Mars and enjoyed post-war peace. Having fulfilled their purpose as soldiers, Neans became subservient workers and second-class citizens to humans. Requiring a daily dose of Nectar to sustain themselves, the androids depend on their masters for its supply of the drug.  However, among this societal hierarchy lie Proto-Neans, independent specialized androids that can summon metallic exoskeletons with superhuman capabilities. Rouge Redstar is one such Proto-Nean working undercover for Aletheia, the government organization overseeing the regulation of Neans, alongside her human partner, Naomi Orthmann.  Rouge and Naomi's mission is to eliminate the Immortal Nine—Proto-Neans who threaten humanity for cryptic reasons. At the same time, an investigator is making his way to Mars to follow a series of murders where Rouge is considered the prime suspect. As the pair delve deeper into their search for the Immortal Nine, they uncover groundbreaking information about the rogue androids and the organization they work for.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1859/140210l.jpg;Action, Sci-Fi;6.2;13;https://myanimelist.net/anime/54794/Metallic_Rouge
Mi Vecino Totoro [1988][1080p][3.17 Gb];Tonari no Totoro;Jikan (MyAnimeList);"In 1950s Japan, Tatsuo Kusakabe relocates himself and his two daughters, Satsuki and Mei, to the countryside to be closer to their mother, who is hospitalized due to long-term illness. As the girls grow acquainted with rural life, Mei encounters a small, bunny-like creature in the yard one day. Chasing it into the forest, she finds ""Totoro""—a giant, mystical forest spirit whom she soon befriends. Before long, Satsuki too meets Totoro, and the two girls suddenly find their lives filled with magical adventures in nature and fantastical creatures of the woods.  [Written by MAL Rewrite]";https://cdn.myanimelist.net/images/anime/1110/147278l.jpg;Adventure, Award Winning, Supernatural;8.25;1;https://myanimelist.net/anime/523/Tonari_no_Totoro
Mirai Nikki;Mirai Nikki;Jikan (MyAnimeList);A short OVA that was bundled with the limited edition of the eleventh volume of the manga.;https://cdn.myanimelist.net/images/anime/10/22971l.jpg;Action, Supernatural, Suspense;7.18;1;https://myanimelist.net/anime/8460/Mirai_Nikki
Mob Psycho 100;Mob Psycho 100;Jikan (MyAnimeList);"Eighth-grader Shigeo ""Mob"" Kageyama has tapped into his inner wellspring of psychic prowess at a young age. But the power quickly proves to be a liability when he realizes the potential danger in his skills. Choosing to suppress his power, Mob's only present use for his ability is to impress his longtime crush, Tsubomi, who soon grows bored of the same tricks.  In order to effectuate control on his skills, Mob enlists himself under the wing of Arataka Reigen, a con artist claiming to be a psychic, who exploits Mob's powers for pocket change. Now, exorcising evil spirits on command has become a part of Mob's daily, monotonous life. However, the psychic energy he exerts is barely the tip of the iceberg; if his vast potential and unrestrained emotions run berserk, a cataclysmic event that would render him completely unrecognizable will be triggered. The progression toward Mob's explosion is rising and attempting to stop it is futile.  [Written by MAL Rewrite]";https://cdn.myanimelist.net/images/anime/8/80356l.jpg;Action, Comedy, Supernatural;8.49;12;https://myanimelist.net/anime/32182/Mob_Psycho_100
Mofumofu Nadenade suru Tame ni Ganbattemasu;Fluffy Paradise;TMDB;Cuando una oficinista muere por trabajar demasiado, renace con una nueva y adorable habilidad. Midori comienza una nueva vida en otro mundo al reencarnarse como Nema, donde tiene la misión de decidir si los humanos de ese mundo merecen seguir existiendo. A cambio obtiene el poder de que todas las criaturas no humanas la amen con locura. Ya sean bestias fantásticas o criaturas sagradas, Midori puede por fin disfrutar de la vida acariciando animalitos como siempre quiso.;https://image.tmdb.org/t/p/original/tDvb4SRltQLs1hkKe5WYQmpi6gJ.jpg;Animación, Action & Adventure, Sci-Fi & Fantasy;7.353;12;https://www.themoviedb.org/tv/205672
Monster;Monster;TMDB;El neurocirujano Kenzo Tenma pierde su trabajo y su novia tras salvar a un niño en lugar de al alcalde. Cuando los médicos responsables de su destitución aparecen muertos, Tenma se convierte en sospechoso y comienza a investigar la verdad detrás de las muertes.;https://image.tmdb.org/t/p/original/en7EgMFKYxPKSHpljzveLf6YYfH.jpg;Animación, Drama, Misterio, Crimen;8.523;74;https://www.themoviedb.org/tv/30981
Mushishi;Mushishi;Jikan (MyAnimeList);"Mushi: the most basic forms of life in the world. They exist without any goals or purposes aside from simply ""being."" They are beyond the shackles of the words ""good"" and ""evil."" Mushi can exist in countless forms and are capable of mimicking things from the natural world such as plants, diseases, and even phenomena like rainbows.  This is, however, just a vague definition of these entities that inhabit the vibrant world of Mushishi, as to even call them a form of life would be an oversimplification. Detailed information on Mushi is scarce because the majority of humans are unaware of their existence.  So what are Mushi and why do they exist? This is the question that a Mushishi, Ginko, ponders constantly. Mushishi are those who research Mushi in hopes of understanding their place in the world's hierarchy of life.  Ginko chases rumors of occurrences that could be tied to Mushi, all for the sake of finding an answer.  It could, after all, lead to the meaning of life itself.  [Written by MAL Rewrite]";https://cdn.myanimelist.net/images/anime/2/73862l.jpg;Adventure, Mystery, Slice of Life, Supernatural;8.65;26;https://myanimelist.net/anime/457/Mushishi
Mushoku Tensei – Isekai Ittara Honki Dasu;Mushoku Tensei: Isekai Ittara Honki Dasu;Jikan (MyAnimeList);Despite being bullied, scorned, and oppressed all of his life, a 34-year-old shut-in still found the resolve to attempt something heroic—only for it to end in a tragic accident. But in a twist of fate, he awakens in another world as Rudeus Greyrat, starting life again as a baby born to two loving parents.  Preserving his memories and knowledge from his previous life, Rudeus quickly adapts to his new environment. With the mind of a grown adult, he starts to display magical talent that exceeds all expectations, honing his skill with the help of a mage named Roxy Migurdia. Rudeus learns swordplay from his father, Paul, and meets Sylphiette, a girl his age who quickly becomes his closest friend.  As Rudeus' second chance at life begins, he tries to make the most of his new opportunity while conquering his traumatic past. And perhaps, one day, he may find the one thing he could not find in his old world—love.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1530/117776l.jpg;Adventure, Drama, Fantasy, Ecchi;8.33;11;https://myanimelist.net/anime/39535/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu
My Happy Marriage;Watashi no Shiawase na Kekkon;Jikan (MyAnimeList);Misery seems everlasting in Miyo Saimori's life. Born from an arranged marriage, she was quickly discarded after her mother's tragic death. Her father remarried, and her younger half-sister Kaya received all the affection, while Miyo was degraded to a lowly servant. Lacking the strength to fight against her family's abuse, Miyo loses hope that her luck will ever turn.  Unexpectedly, Miyo's father summons her to deliver surprising news: she is to marry Kiyoka Kudou, the head of the distinguished Kudou family. Despite his noble background, Kiyoka is known to be a callous man who has thus far dismissed all of his former fiancées.  Upon arriving at the Kudou household, Miyo expects coarse treatment and to be tossed aside. However, contrary to her assumptions, Kiyoka shows her the kindness and love that she has desperately needed. Marrying Kiyoka may be Miyo's one chance to break free from her neglectful family and embrace a life of happiness.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1147/122444l.jpg;Drama, Fantasy, Romance;7.68;12;https://myanimelist.net/anime/51552/Watashi_no_Shiawase_na_Kekkon
My Hero Academia;Boku no Hero Academia;Jikan (MyAnimeList);"The appearance of ""quirks,"" newly discovered super powers, has been steadily increasing over the years, with 80 percent of humanity possessing various abilities from manipulation of elements to shapeshifting. This leaves the remainder of the world completely powerless, and Izuku Midoriya is one such individual.  Since he was a child, the ambitious middle schooler has wanted nothing more than to be a hero. Izuku's unfair fate leaves him admiring heroes and taking notes on them whenever he can. But it seems that his persistence has borne some fruit: Izuku meets the number one hero and his personal idol, All Might. All Might's quirk is a unique ability that can be inherited, and he has chosen Izuku to be his successor!  Enduring many months of grueling training, Izuku enrolls in UA High, a prestigious high school famous for its excellent hero training program, and this year's freshmen look especially promising. With his bizarre but talented classmates and the looming threat of a villainous organization, Izuku will soon learn what it really means to be a hero.  [Written by MAL Rewrite]";https://cdn.myanimelist.net/images/anime/10/78745l.jpg;Action;7.82;13;https://myanimelist.net/anime/31964/Boku_no_Hero_Academia
My Hero Academia - Vigilantes;Vigilante: Boku no Hero Academia Illegals;Jikan (MyAnimeList);In a world filled with superpowered Quirk users, college student Kouichi Haimawari's dream is to become a hero just like the ones he so admires. Unfortunately for him, he finds out that there is only so much he can do with a sliding ability that gives him about as much speed as a bicycle. Thus, he is drawn to extra-legal, simpler work and takes on various local tasks beyond the grasp of the police and licensed heroes.  However, a chance encounter with two misfits, a brash brawler vigilante who goes by Knuckleduster and the online sensation Pop☆Step, gives Kouichi the opportunity he has always dreamed about. With a dangerous new Quirk-enhancing drug turning ordinary people into instant villains, Kouichi finds himself accompanying the two in a quest to stop the drug from spreading. As the trio tries to get to the bottom of the case, the chaotic team looks to put a stop to wrongdoers that go overlooked by the law.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1538/148604l.jpg;Action;7.58;13;https://myanimelist.net/anime/60593/Vigilante__Boku_no_Hero_Academia_Illegals
Nana;Nana;Jikan (MyAnimeList);Departing from their respective hometowns, two young women with identical names are brought together in their pursuit of new beginnings. With their hearts set on going to Tokyo, Nana Komatsu dreams about blissful love, while Nana Osaki aims for a successful music career.  The former has a cheerful and friendly nature, but her naivety has steered her romantic life astray until she meets her dependable boyfriend—Shouji Endo. Without letting herself be dismayed by Shouji's decision to study in Tokyo, Nana works hard to earn enough money and follow him there. Meanwhile, her namesake is a solitary punk vocalist whose impassioned romance with her band's bassist, Ren Honjou, comes to a sudden end. Though heartbroken, Nana bravely looks forward and travels to the capital with the ambition of becoming a recognized artist.  Shortly after they arrive in Tokyo, the girls cross paths again due to an unexpected coincidence that ultimately leads them to live under the same roof. As they grow closer, the two strive to support one another amid their struggles to forge a future for themselves.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/2/11232l.jpg;Drama, Romance;8.57;47;https://myanimelist.net/anime/877/Nana
Nanatsu No Taizai;Nanatsu no Taizai;Jikan (MyAnimeList);"In a world similar to the European Middle Ages, the feared yet revered Holy Knights of Britannia use immensely powerful magic to protect the region of Britannia and its kingdoms. However, a small subset of the Knights supposedly betrayed their homeland and turned their blades against their comrades in an attempt to overthrow the ruler of Liones. They were defeated by the Holy Knights, but rumors continued to persist that these legendary knights, called the ""Seven Deadly Sins,"" were still alive. Ten years later, the Holy Knights themselves staged a coup d’état, and thus became the new, tyrannical rulers of the Kingdom of Liones.  Based on the best-selling manga series of the same name, Nanatsu no Taizai follows the adventures of Elizabeth, the third princess of the Kingdom of Liones, and her search for the Seven Deadly Sins. With their help, she endeavors to not only take back her kingdom from the Holy Knights, but to also seek justice in an unjust world.   [Written by MAL Rewrite]";https://cdn.myanimelist.net/images/anime/8/65409l.jpg;Action, Adventure, Fantasy;7.6;24;https://myanimelist.net/anime/23755/Nanatsu_no_Taizai
Naruto;Naruto;Jikan (MyAnimeList);Twelve years ago, a colossal demon fox terrorized the world. During the monster's attack on the Hidden Leaf Village, the Hokage—the village's leader and most powerful ninja—sacrifices himself to seal the beast inside a newborn, relieving civilization from destruction while dooming the baby to a lonely life.  Now, after years of being shunned and bullied, Naruto Uzumaki pesters the village with elaborate pranks and vandalism. Despite these antics, he works hard to achieve his dream: to become the Hokage and earn the acknowledgement of those who have mistreated him for his entire life. Naruto joins Team 7, a ninja squad made up of two of his peers—prodigy Sasuke Uchiha and clever Sakura Haruno.  Under the aloof Kakashi Hatake's leadership, Team 7 takes on a series of difficult missions, forcing its members to grow in strength and comradery despite their many differences. Naruto strives to stand out in his rivalry with Sasuke and earn the romantic affection of Sakura. But as the trio brush against danger and death, their tragic pasts threaten to tear them apart.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1141/142503l.jpg;Action, Adventure, Fantasy;8.02;220;https://myanimelist.net/anime/20/Naruto
Naruto Shippuden;Naruto: Shippuuden;Jikan (MyAnimeList);It has been two and a half years since Naruto Uzumaki left Konohagakure, the Hidden Leaf Village, for intense training following events which fueled his desire to be stronger. Now Akatsuki, the mysterious organization of elite rogue ninja, is closing in on their grand plan which may threaten the safety of the entire shinobi world.   Although Naruto is older and sinister events loom on the horizon, he has changed little in personality—still rambunctious and childish—though he is now far more confident and possesses an even greater determination to protect his friends and home. Come whatever may, Naruto will carry on with the fight for what is important to him, even at the expense of his own body, in the continuation of the saga about the boy who wishes to become Hokage.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/1565/111305l.jpg;Action, Adventure, Fantasy;8.29;500;https://myanimelist.net/anime/1735/Naruto__Shippuuden
Natsuyuki Rendezvous;Natsuyuki Rendezvous;Jikan (MyAnimeList);Ryousuke Hazuki is a young man whose heart has been stolen away, stopping by the local floral shop daily in order to catch a glimpse of the beautiful Rokka Shimao, the shop's owner. In hopes of getting close to her, he decides to get a part-time job at the shop, but before he is able to make his move, he runs into a major roadblock: in her apartment dwells a ghost who claims to be Rokka's deceased husband.  Atsushi Shimao has quietly watched over his widowed wife ever since he passed three years ago. However, Hazuki is the first person to ever notice him, and the two quickly find themselves at odds: the jealous Shimao attempts to thwart the suitor's advances and possess his body, while Hazuki simply wants the ghost to pass on for good, allowing Rokka to move on from the past and him to be with the one he loves. As both men refuse to let go of their desires, an unusual relationship forms between a troubled woman, an unrelenting ghost, and a stubborn man in love.  [Written by MAL Rewrite];https://cdn.myanimelist.net/images/anime/11/38181l.jpg;Drama, Romance, Supernatural;7.26;11;https://myanimelist.net/anime/13585/Natsuyuki_Rendezvous
Naze Boku no Sekai wo Daremo Oboeteinai no ka;Why Does Nobody Remember Me in This World?;TMDB;"La era en la que la gran raza de las cinco tribus compitiendo por la hegemonía sobre el terreno terminó con la victoria de la humanidad liderada por el héroe Sid. Sin embargo, ese mundo fue repentinamente ""sobrescrito"" frente a un niño Kai. En el mundo reescrito, Kai vio la escena en la que los humanos perdieron ante las cinco guerras tribales debido a la ausencia del héroe Sid, aquí los dragones y los demonios dominan la tierra, y Kai es una existencia olvidada de todos los seres humanos. Sin embargo, después de encontrarse con la misteriosa niña Rinne, Kai decide romper este destino reescrito. En un mundo sin héroes, hereda la espada y el arte marcial del héroe y desafía a las poderosas razas enemigas que reinan.";https://image.tmdb.org/t/p/original/iDVzUTs4CYz0aRMcTdqKg5llsjS.jpg;Animación, Drama, Sci-Fi & Fantasy, Action & Adventure, Misterio;6.2;12;https://www.themoviedb.org/tv/244672
