Titulo;Anio;Sinopsis;Link_Imagen;Generos;Puntuacion_IMDb;Temporadas;Capitulos
Medianoche en el Pera Palace;2022 - 2024;En un hotel histórico de Estambul, una periodista viaja inesperadamente al pasado y debe detener un complot que podría cambiar el destino de la Turquía moderna.;https://image.tmdb.org/t/p/original/uslNVfFRXnY4I8J6yohGatDUs30.jpg;Drama, Misterio, Crimen;7.572;2;16
Melissa & Joey;2010 - 2015;Melissa es una concejal del ayuntamiento que debe hacerse cargo de sus dos sobrinos, porque su madre ha sido encarcelada. Como sus actividades políticas no le permiten atenderlos como es debido, decide contratar a alguien que se ocupe de ellos. Ahí entra en juego Joey, un empresario en bancarrota, abandonado por su novia, que se ofrece a cuidar a los niños a cambio de techo y comida.;https://image.tmdb.org/t/p/original/fTl1DSKH2VP5o70b44wsYJLn1xP.jpg;Drama, Comedia, Familia;6.816;4;104
Mentiras pasajeras;2023 - 2023;Lucía, una ejecutiva de una compañía de alta tecnología en tratamientos estéticos ha luchado para alejarse todo lo posible de su origen humilde, pero justo el día en que por fin debía recibir un más que merecido ascenso, es acusada de espionaje industrial y expulsada de su puesto de trabajo.;https://image.tmdb.org/t/p/original/fehHs3wK0wefw2hEuo8qnXpaNRt.jpg;Comedia, Drama;6.464;1;8
Sin piedad para nadie;2025 - 2025;Tras cortar lazos con su banda, un antiguo gánster vuelve para descubrir la verdad sobre la muerte de su hermano, pero su búsqueda lo llevará por un camino de venganza sin retorno.;https://image.tmdb.org/t/p/original/wN2oCVmMh8ey0vh0EfqcGA5X7UI.jpg;Action & Adventure, Drama;7.8;1;7
Merlí;2015 - 2018;Merlí es un profesor de una materia denostada y apreciada a partes iguales, filosofía. Un tipo contradictorio, y con virtudes y defectos a la par. La producción se centra en la relación del maestro con sus alumnos y, sobre todo, en «los conflictos entre padres e hijos, estudiantes y profesores...»;https://image.tmdb.org/t/p/original/eBzpj7PxyeRFCIYHQjB5kDnhX4a.jpg;Comedia, Drama;8.603;3;40
Merlín;2008 - 2012;Adaptacion a la televisión de la leyenda arturica en las que unos jóvenes Arturo y Merlin se enfrentan a sus primeros peligros y descubren el amor. Podremos ver al joven Colin Morgan (Dr. Who) interpretando al todavia inexperto Merlin, junto a los demas personajes de la leyenda arturica como son Arturo (Bradley James), Lancelot (Santiago Cabrera - Heroes -), Vivianne, la bruja del lago (Michelle Ryan - Bionic woman -) o el Gran Dragón (al que pone voz el veterano John Hurt).;https://image.tmdb.org/t/p/original/8eR5Jg7CxsuCOEBU5wW0opObxpi.jpg;Action & Adventure, Drama, Sci-Fi & Fantasy;7.832;5;65
Mesías;2020 - 2020;Una agente de la CIA investiga a un carismático individuo que inspira un movimiento espiritual y desestabiliza la política. Historia ficticia no basada en hechos reales.;https://image.tmdb.org/t/p/original/qXWSlaizMJ1czYUiVxhgUixVdgJ.jpg;Drama;7.236;1;10
MH370: El avión que desapareció;2023 - 2023;En 2014, un avión con 239 personas a bordo desaparece de todos los radares. Esta docuserie analiza uno de los mayores misterios modernos: el vuelo MH370.;https://image.tmdb.org/t/p/original/lVyBjky45Yqay2G3DaN6pkFCaUH.jpg;Documental;6.6;1;3
Mi dulce niña;2023 - 2023;Lena vive en completo aislamiento junto con sus dos hijos, Hannah y Jonathan, en un hogar de alta seguridad. Comen, van al baño y se acuestan en horarios prescritos con precisión. Tan pronto como entra en la habitación, se ponen en fila para mostrar sus manos. Obedecen a todo lo que dice. Hasta que la mujer logra escapar. Después de un accidente automovilístico casi fatal, es hospitalizada. Pero el verdadero alcance de esta pesadilla se revela con la llegada de los padres de Lena al hospital esa misma noche. Han estado buscando desesperadamente a su hija desaparecida durante casi 13 años.;https://image.tmdb.org/t/p/original/iD6WCt5g14t4RnjhDysVaCJbgja.jpg;Crimen, Drama, Misterio;7.321;1;6
Misa de medianoche;2021 - 2021;Una comunidad al borde de la extinción y ávida de fe recibe la llegada de un carismático sacerdote, que trae consigo milagros, misterios y un renovado fervor religioso.;https://image.tmdb.org/t/p/original/4ZQiVDFQgGO791f9pAcsPUeOtFe.jpg;Misterio, Drama;7.552;1;7
