Titulo_original;Titulo_encontrado;Fuente;Anio;Sinopsis;Poster_URL;Generos;Puntuacion;Duracion_min;URL_Externa
Bad Boys - Ride or Die [2024][1080p][3.68 Gb];Bad Boys: Ride or Die;TMDB;2024;Los policías más famosos del mundo regresan con su icónica mezcla de acción al límite y comedia escandalosa, pero esta vez con un giro inesperado: ¡Los mejores de Miami se dan a la fuga! Cuarta entrega de la saga 'Dos policías rebeldes'.;https://image.tmdb.org/t/p/original/53y0ETa1TGdVrMEVx7oLW86ay8r.jpg;Acción, Comedia, Crimen;7.3;116;https://www.themoviedb.org/movie/573435
Bad Boys [1995][1080p][3.6 Gb];Dos policías rebeldes;TMDB;1995;Un alijo de heroína valorada en unos 100 millones de dólares es robado del mismísimo depósito de la policía. El caso le será asignado a los agentes Burnett y Lowery, una pareja muy peculiar por los métodos que utilizan. La única pista que tienen para comenzar es la de un testigo que les ayudará a identificar a los atracadores y a la que tendrán que proteger.;https://image.tmdb.org/t/p/original/ZYpSdXaTMFYCGbmVmXOFbdJmSv.jpg;Acción, Comedia, Crimen, Suspense;6.829;118;https://www.themoviedb.org/movie/9737
Bad Boys 2 [2003][1080p][5.7 Gb];Dos policías rebeldes II;TMDB;2003;Los detectives de narcóticos Mike Lowrey y Marcus Burnett han sido asignados a un nuevo caso en Miami, donde un astuto narcotraficante ha iniciado una sangrienta guerra. Además la amistad de los dos agentes se complica cuando Mike empieza a sentir algo por la hermana de Marcus...;https://image.tmdb.org/t/p/original/qyHDZB87UQF9cu6uuQzhhaKGvuo.jpg;Acción, Crimen, Comedia;6.7;150;https://www.themoviedb.org/movie/8961
Bad Boys 3 - For Life [2020][1080p][2 Gb];Bad Boys for Life;TMDB;2020;El Departamento de Policía de Miami y su equipo de élite AMMO intentan derribar a Armando Armas, jefe de un cartel de la droga. Armando es un asesino de sangre fría con una naturaleza viciosa y contaminante. Él está comprometido con el trabajo del cartel y es enviado por su madre Isabel, para matar a Mike.;https://image.tmdb.org/t/p/original/zXYARspjKpwN9vAOp2F9MF3NWa1.jpg;Suspense, Acción, Crimen;7.114;123;https://www.themoviedb.org/movie/38700
Bailando por la vida [2022][1080p][1.94 Gb];Bailando por la vida;TMDB;2022;Recién salido de la universidad y atrapado en su casa de Nueva Jersey sin tener muy claro su futuro, Andrew, de 22 años, empieza a trabajar como animador de fiestas para bar y bat mitzvás. Allí entabla una amistad especial con una joven madre y su hija adolescente.;https://image.tmdb.org/t/p/original/7n3se3N7IcB0B7bxvMJPJz32IAg.jpg;Comedia, Drama, Romance;7.123;108;https://www.themoviedb.org/movie/814340
Bajo el Mismo Techo [2011][720p][964 Mb];Como la vida misma;TMDB;2010;“Como la vida misma” es una comedia romántica Holly Berenson (Katherine Heigl) es una organizadora de servicios de banquetes para fiestas y Eric Messer (Josh Duhamel) es el director de una cadena de deportes.Tras su primera cita desastrosa, lo único que tienen en común es su antipatía del uno por el otro y su amor por su ahijada, Sophie.Holly y Messer se ven forzados a dejar de lado las diferencias entre ellos mientras viven bajo el mismo techo.Sin embargo la vida los pondrá a prueba, cuando luego de un terrible accidente se convierten en lo único que Sophie tiene en su vida. Holly y Eric se ven obligados a dejar sus diferencias a un lado y sortear ambiciones y calendarios sociales para encontrar la armonía del nuevo hogar que están destinados a formar.;https://image.tmdb.org/t/p/original/yS5rwHNWrJr6n91P9mlstlSO9ca.jpg;Comedia, Romance, Drama;6.899;114;https://www.themoviedb.org/movie/38408
Bajo el mismo techo [2019][1080p][4.76 Gb];Bajo el mismo techo;TMDB;2019;Los dos miembros de un matrimonio, tras divorciarse, tendrán que seguir viviendo bajo el mismo techo al no encontrar comprador de su casa de casados y no tener ninguno de ellos dinero suficiente para irse a vivir a otro sitio.;https://image.tmdb.org/t/p/original/24VMAJjGFwtCbdGuFITklELqQuQ.jpg;Comedia;5.492;97;https://www.themoviedb.org/movie/555657
Bajo Terapia [2023][720p][720 Mb];Bajo terapia;TMDB;2023;Tres parejas participan en una sesión terapéutica muy particular. Una psicóloga les propone una sesión grupal donde se tendrán que analizar entre ellos sin su presencia. Eso sí, les ha dejado unos sobres con indicaciones de lo que tienen que tratar. Le mecánica propuesta alienta a que todos opinen, discutan y se muestren tal y como son. Todos son fiscales y abogados defensores. Todos interrogan, confiesan, se desnudan emocionalmente, se arrepienten de lo que dicen, juegan a provocar.;https://image.tmdb.org/t/p/original/kVgDCprjUrxW7paQDo477g1pzAw.jpg;Comedia;6.929;93;https://www.themoviedb.org/movie/1008003
Bajocero [2021][1080p][867 Mb];Bajocero;TMDB;2021;Invierno. Bajo cero. Noche cerrada. En mitad de una carretera despoblada, un furgón blindado es asaltado durante un traslado de presos. Alguien busca a uno de los presos y no parará hasta sacarlo. Su plan no tiene fisuras, no le importan las consecuencias, nada le va a detener. Pero Martín, el conductor del furgón, consigue atrincherarse dentro del cubículo blindado con los reclusos, convirtiéndose en su único obstáculo. Obligado a entenderse con sus enemigos naturales, Martín tratará de sobrevivir y cumplir con su deber en una larga noche de pesadilla que acabará haciendo que ponga en duda todos sus principios.;https://image.tmdb.org/t/p/original/jSQm5N889mt4rudOYfYBUFapdYN.jpg;Acción, Crimen, Suspense;6.352;101;https://www.themoviedb.org/movie/587996
Ballerina - From the World of John Wick [2025][1080p][3.6 Gb];Ballerina;TMDB;2025;Eve Macarro es una asesina entrenada por la Ruska Roma desde su infancia, la misma organización criminal encargada del adiestramiento de John Wick. En esta violenta historia de venganza, Eve intentará por todos los medios averiguar quién está detrás del asesinato de su padre. En su lucha por conocer la verdad, tendrá que atenerse a las normas de la Alta Mesa y, por supuesto, a las del Hotel Continental, donde descubrirá que existen secretos ocultos sobre su pasado.;https://image.tmdb.org/t/p/original/gQCrYmvCK7JCLXjCGTMRF5Lzr5c.jpg;Acción, Suspense, Crimen;7.243;125;https://www.themoviedb.org/movie/541671
